Job Title,Company,Salary,Experience,Location,Skills,Source,Location_Clean_Fixed
Senior Backend Developer (Golang),VNGGames,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Technical Lead (Ruby/Java/NodeJS/PHP),RAKSUL Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
PHP Team Leader (Laravel/ SQL),ORO Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
SAP ABAP/BTP Expert,CÔNG TY TNHH ABEAM CONSULTING (VIỆT NAM),Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Game Designer,Vinsprite Tech,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"HO - Database Administrator (Oracle, SQL)",Ngân Hàng Á Châu | ACB,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
Web Development (Fresher/ Junior),WebMD Health Services,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
IMS Developer (Cobol),Capgemini Vietnam,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
"Middle Tester (Qa QC, Agile/Scrum)",Rexy Technology,Thỏa thuận,,Ho Chi Minh,,ITViec,Ho Chi Minh
AI Infrastructure Network Engineer,One Mount Group,Thỏa thuận,,Ho Chi Minh,"CompTIA Network+, Networking",ITViec,Ho Chi Minh
Senior AI Engineer,One Mount Group,Thỏa thuận,,Ho Chi Minh,"Python, C++",ITViec,Ho Chi Minh
"Mid/Sr Fullstack Developer (C#, ASP.NET, .NET Core)",Joblogic,Thỏa thuận,,Ho Chi Minh,"C#, English, AI, Azure, Cloud, .Net Core",ITViec,Ho Chi Minh
"Mid/Sr Mobile Developer (Android, iOS, Flutter)",Joblogic,Thỏa thuận,,Ho Chi Minh,"Mobile Apps, English, AI, Flutter, iOS, Android",ITViec,Ho Chi Minh
"Product Delivery Manager (SaaS, fluent English)",Joblogic,Thỏa thuận,,Ho Chi Minh,"Product Management, English, Business Analysis, Product Owner",ITViec,Ho Chi Minh
"Principal/Senior QA QC Engineer (Automation,Playwright)","MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,,Ho Chi Minh,"Automation Test, English, CI/CD, Database, QA QC",ITViec,Ho Chi Minh
Solution Architect / Tech Lead (Blockchain Platform),GEM Corporation,Thỏa thuận,,Ho Chi Minh,"JavaScript, Blockchain, Solution Architecture, English",ITViec,Ho Chi Minh
Unity Games Developer (Puzzle/Casual/Hybrid-casual),ANTADA,Thỏa thuận,,Ho Chi Minh,"Unity, Games, C#",ITViec,Ho Chi Minh
Junior Machine Learning Engineer (Python/MLOps/AI),Gene Solutions,Thỏa thuận,,Ho Chi Minh,"Machine Learning, Python, DevOps, Linux, AI, MLOps",ITViec,Ho Chi Minh
"Experienced Product Designer (UX, Figma)",SMG Swiss Marketplace Group,Thỏa thuận,,Ho Chi Minh,"UI-UX, Design Systems, Usability testing, User journey, AI",ITViec,Ho Chi Minh
"Senior Web Developer (React/Next.js, AI-enabled)",CÔNG TY TNHH FINAN,Thỏa thuận,,Ho Chi Minh,"ReactJS, NextJS, React Native, TypeScript, AI",ITViec,Ho Chi Minh
Senior M365 Copilot & Power Platform Specialist,Renesas Design Vietnam,Thỏa thuận,,Ho Chi Minh,"Power Automate, Microsoft Dynamics 365",ITViec,Ho Chi Minh
