Job Title,Company,Salary,Experience,Location,Skills,Source
Senior Backend Developer (Golang),VNGGames,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Technical Lead (Ruby/Java/NodeJS/PHP),RAKSUL Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
PHP Team Leader (Laravel/ SQL),ORO Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
SAP ABAP/BTP Expert,CÔNG TY TNHH ABEAM CONSULTING (VIỆT NAM),Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Game Designer,Vinsprite Tech,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"HO - Database Administrator (Oracle, SQL)",Ngân Hàng Á Châu | ACB,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
Web Development (Fresher/ Junior),WebMD Health Services,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
IMS Developer (Cobol),Capgemini Vietnam,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
"Middle Tester (Qa QC, Agile/Scrum)",Rexy Technology,Thỏa thuận,N/A,Ho Chi Minh,,ITViec
AI Infrastructure Network Engineer,One Mount Group,Thỏa thuận,N/A,Ho Chi Minh,"CompTIA Network+, Networking",ITViec
Senior AI Engineer,One Mount Group,Thỏa thuận,N/A,Ho Chi Minh,"Python, C++",ITViec
"Mid/Sr Fullstack Developer (C#, ASP.NET, .NET Core)",Joblogic,Thỏa thuận,N/A,Ho Chi Minh,"C#, English, AI, Azure, Cloud, .Net Core",ITViec
"Mid/Sr Mobile Developer (Android, iOS, Flutter)",Joblogic,Thỏa thuận,N/A,Ho Chi Minh,"Mobile Apps, English, AI, Flutter, iOS, Android",ITViec
"Product Delivery Manager (SaaS, fluent English)",Joblogic,Thỏa thuận,N/A,Ho Chi Minh,"Product Management, English, Business Analysis, Product Owner",ITViec
"Principal/Senior QA QC Engineer (Automation,Playwright)","MONEY FORWARD VIETNAM CO.,LTD",Thỏa thuận,N/A,Ho Chi Minh,"Automation Test, English, CI/CD, Database, QA QC",ITViec
Solution Architect / Tech Lead (Blockchain Platform),GEM Corporation,Thỏa thuận,N/A,Ho Chi Minh,"JavaScript, Blockchain, Solution Architecture, English",ITViec
Unity Games Developer (Puzzle/Casual/Hybrid-casual),ANTADA,Thỏa thuận,N/A,Ho Chi Minh,"Unity, Games, C#",ITViec
Junior Machine Learning Engineer (Python/MLOps/AI),Gene Solutions,Thỏa thuận,N/A,Ho Chi Minh,"Machine Learning, Python, DevOps, Linux, AI, MLOps",ITViec
"Experienced Product Designer (UX, Figma)",SMG Swiss Marketplace Group,Thỏa thuận,N/A,Ho Chi Minh,"UI-UX, Design Systems, Usability testing, User journey, AI",ITViec
"Senior Web Developer (React/Next.js, AI-enabled)",CÔNG TY TNHH FINAN,Thỏa thuận,N/A,Ho Chi Minh,"ReactJS, NextJS, React Native, TypeScript, AI",ITViec
Senior M365 Copilot & Power Platform Specialist,Renesas Design Vietnam,Thỏa thuận,N/A,Ho Chi Minh,"Power Automate, Microsoft Dynamics 365",ITViec
