Job Title,Company,Salary,Skills,Location
Senior Backend Developer (Golang),VNGGames,You'll love it,,Ho Chi Minh
Technical Lead (Ruby/Java/NodeJS/PHP),RAKSUL Vietnam,Thỏa thuận,,Ho Chi Minh
PHP Team Leader (Laravel/ SQL),ORO Vietnam,Thỏa thuận,,Ho Chi Minh
SAP ABAP/BTP Expert,CÔNG TY TNHH ABEAM CONSULTING (VIỆT NAM),Thỏa thuận,,Ho Chi Minh
Game Designer,Vinsprite Tech,Thỏa thuận,,Ho Chi Minh
"HO - Database Administrator (Oracle, SQL)",Ngân Hàng Á Châu | ACB,You'll love it,,Ho Chi Minh
Web Development (Fresher/ Junior),WebMD Health Services,You'll love it,,Ho Chi Minh
IMS Developer (Cobol),Capgemini Vietnam,You'll love it,,Ho Chi Minh
"Middle Tester (Qa QC, Agile/Scrum)",Rexy Technology,You'll love it,,Ho Chi Minh
AI Infrastructure Network Engineer,One Mount Group,You'll love it,"CompTIA Network+, Networking",Ho Chi Minh
Senior AI Engineer,One Mount Group,You'll love it,"Python, C++",Ho Chi Minh
"Mid/Sr Fullstack Developer (C#, ASP.NET, .NET Core)",Joblogic,You'll love it,"C#, English, AI, Azure, Cloud, .Net Core",Ho Chi Minh
"Mid/Sr Mobile Developer (Android, iOS, Flutter)",Joblogic,You'll love it,"Mobile Apps, English, AI, Flutter, iOS, Android",Ho Chi Minh
"Product Delivery Manager (SaaS, fluent English)",Joblogic,You'll love it,"Product Management, English, Business Analysis, Product Owner",Ho Chi Minh
"Principal/Senior QA QC Engineer (Automation,Playwright)","MONEY FORWARD VIETNAM CO.,LTD",You'll love it,"Automation Test, English, CI/CD, Database, QA QC",Ho Chi Minh
Solution Architect / Tech Lead (Blockchain Platform),GEM Corporation,Thỏa thuận,"JavaScript, Blockchain, Solution Architecture, English",Ho Chi Minh
Unity Games Developer (Puzzle/Casual/Hybrid-casual),ANTADA,Thỏa thuận,"Unity, Games, C#",Ho Chi Minh
Junior Machine Learning Engineer (Python/MLOps/AI),Gene Solutions,You'll love it,"Machine Learning, Python, DevOps, Linux, AI, MLOps",Ho Chi Minh
"Experienced Product Designer (UX, Figma)",SMG Swiss Marketplace Group,Thỏa thuận,"UI-UX, Design Systems, Usability testing, User journey, AI",Ho Chi Minh
"Senior Web Developer (React/Next.js, AI-enabled)",CÔNG TY TNHH FINAN,You'll love it,"ReactJS, NextJS, React Native, TypeScript, AI",Ho Chi Minh
Senior M365 Copilot & Power Platform Specialist,Renesas Design Vietnam,You'll love it,"Power Automate, Microsoft Dynamics 365",Ho Chi Minh
Salesforce Business Analyst (Nha Trang – Hybrid/Remote),Infodation Vietnam,You'll love it,"Business Analysis, Team Management, English, Agile, SQL",Ho Chi Minh
[HN/HCM] (Senior) Platform Engineer (Data Platform),One Mount Group,You'll love it,"Database, AI, Linux, DevOps",Ho Chi Minh
"Senior Generative AI ( NLP, LLM )","ARSEN Kawaijuku Tech Vietnam Co.,Ltd",You'll love it,"AI, LLM, Generative AI, Machine Learning, NLP, Python",Ho Chi Minh
Data Platform Engineer,Home Credit Vietnam,You'll love it,"Machine Learning, Kubernetes, Spark, Linux, Data Engineer",Ho Chi Minh
"Senior System Engineer (Linux, Windows Server, Cloud)",One Mount Group,You'll love it,"Linux, Terraform, CI/CD, Docker, Cloud, Windows Server",Ho Chi Minh
"Technical PM (Da Nang, Can Tho, Hybrid)",Dirox,You'll love it,"Project Management, AI, Software Architecture",Ho Chi Minh
iOS Engineer,Vulcan Labs,You'll love it,"iOS, Mobile Apps, MVVM, Swift",Ho Chi Minh
"Engineering Manager, B2C Product",ELSA,Thỏa thuận,"English, React Native, Swift, Product Management",Ho Chi Minh
"QC Engineer (Manual, Automation Test)",Pizza Hut Digital & Technology,You'll love it,"QA QC, Mobile Apps, Tester, Automation Test",Ho Chi Minh
Technical Animator (Avatar Motion & Unity Integration),Optimizer Việt Nam,You'll love it,"Unity, Blender, Design",Ho Chi Minh
Senior Database Administrator,NAB Innovation Centre Vietnam,You'll love it,"DBA, Database, Cloud, Oracle, SQL, PostgreSql",Ho Chi Minh
Principal QC Engineer,Titan DMS,You'll love it,"Team Management, Agile, QA QC, English, CI/CD",Ho Chi Minh
"Senior/Lead QA Engineer (QE, QC, Automation)",Pizza Hut Digital & Technology,You'll love it,"QA QC, Leadership, Automation Test",Ho Chi Minh
"UI/UX Designer (All levels, English)",Topicus Vietnam,You'll love it,"UI-UX, English, CSS, HTML, Figma, Prototyping",Ho Chi Minh
"Senior/Lead Software Engineer (ReactJS, React Native)",Pizza Hut Digital & Technology,You'll love it,"JavaScript, React Native, English",Ho Chi Minh
"Backend Dev (Golang, AI) - Lương cạnh tranh",Buymed,You'll love it,"Golang, Microservices Architecture, Kubernetes, ReactJS",Ho Chi Minh
Delivery Leader/Delivery Manager,Capgemini Vietnam,You'll love it,"Project Management, Leadership, Java, Risk Management",Ho Chi Minh
Software Asset Management Specalist,Renesas Design Vietnam,You'll love it,"Scrum, Team Management",Ho Chi Minh
"Remote Mobile App Developer (Java, Kotlin, Android)","Solventus, LLC",Thỏa thuận,"Android, Application Security, Java, API, Android studio",Ho Chi Minh
"Remote Fullstack Developer(TypeScript, ReactJS, NodeJS)","Solventus, LLC",Thỏa thuận,"TypeScript, NextJS, AWS, NodeJS, PostgreSql, ReactJS",Ho Chi Minh
Database Engineer (SQL Server),Live Payments,Thỏa thuận,"Database, SQL, English",Ho Chi Minh
GCP Cloud specialist (Japanese speaking),Capgemini Vietnam,You'll love it,"GCP, Japanese, Terraform, Cloud",Ho Chi Minh
Chuyên viên Phát triển ứng dụng (Java Developer),SACOMBANK,You'll love it,"Java, Windows Server, API, Linux, Microservices, Spring",Ho Chi Minh
"QA Architect (QA QC, Tester, Playwright, Selenium)",MEALSUITE,You'll love it,"Tester, Selenium, QA QC, Design, Playwright",Ho Chi Minh
"Linux System Developer (C Language, C++)",Endava Việt Nam,You'll love it,"Linux, English, Networking, Python, C++, C language",Ho Chi Minh
DevSecOps Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,"DevSecOps, CI/CD, Kubernetes, Security, Docker",Ho Chi Minh
Data Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,"Apache Spark, SQL, Elasticsearch, Cassandra, Apache Airflow",Ho Chi Minh
Software Engineer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,"Golang, Kafka, Elasticsearch, Cassandra, Oracle, Java",Ho Chi Minh
Full Stack Developer,CÔNG TY TNHH GIẢI PHÁP BRAIN TECH,Thỏa thuận,"React Native, API, Golang, Java, Oracle, NodeJS",Ho Chi Minh
Middle/Senior Software Engineer (Fullstack Developer),Gradion,You'll love it,"PHP, .NET, Java, AWS, Golang, NodeJS",Ho Chi Minh
Embedded Software Engineer,FUJIFILM Business Innovation Việt Nam,You'll love it,"Embedded, Linux, C language, C++, Windows",Ho Chi Minh
AI Engineer - Salary Up to 70M,FPT Software,Thỏa thuận,"AI, Python, LLM, Azure, OCR, Machine Learning",Ho Chi Minh
Embedded Software Engineer,Motorola Solutions,You'll love it,"Embedded C, OpenCV, Linux",Ho Chi Minh
"Product Owner (Airline & Travel Business, B2B/B2C)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,You'll love it,"Product Owner, Product Management, User story, Scrum, Agile",Ho Chi Minh
Business Analyst (Middle),Saigon Technology,You'll love it,"Business Analysis, Agile, BPMN, UML, English",Ho Chi Minh
"AI Engineer (LLM RAG, Agent Workflow, Vector DB)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,You'll love it,"Python, Prompt Engineering, Microservices, API, AI, LLM",Ho Chi Minh
"Frontend Dev (Angular, TypeScript, React, RxJS)",CÔNG TY TNHH GIẤC MƠ BAY RẺ,You'll love it,"Angular, API, RxJS, Tailwind, CSS 3, TypeScript",Ho Chi Minh
Data Platforms Team Leader,Home Credit Vietnam,You'll love it,"Spark, DevOps",Ho Chi Minh
Performance Test Engineer (English),KMS Technology,You'll love it,"Tester, Gatling, LoadRunner, Jmeter",Ho Chi Minh
"Middle Data Engineer (Python, SQL, BI, AWS)",BillEase,Thỏa thuận,"Data Engineer, ELT, Business Intelligence, AWS, SQL",Ho Chi Minh
SysOps - Trading System IT Operations & Support (SQL),Maybank Investment Bank,Thỏa thuận,"IT Support, Database, IBM DB2, CI/CD, SQL, Docker",Ho Chi Minh
Cyber Security Consultant,Capgemini Vietnam,You'll love it,"Cybersecurity, Governance, Risk & Compliance",Ho Chi Minh
SecOps Engineer,CÔNG TY TNHH NEXTEDGE,You'll love it,"DevSecOps, Cloud Security, Information Security, Cybersecurity",Ho Chi Minh
Senior Bridge Engineer - BrSE (Japanese N2+),"ANDPAD VietNam Co., Ltd",You'll love it,"Bridge Engineer, Japanese, Project Management, QA QC",Ho Chi Minh
Senior AI Engineer (Infrastructure Focus),Bitcoin Builders,Thỏa thuận,"PyTorch, Deep Learning, Machine Learning, AI, Docker",Ho Chi Minh
Backend Technical Lead,TymeX,You'll love it,"Java, Design Systems, Event-Driven Architecture, Microservices",Ho Chi Minh
Security Architect / Senior Security Engineer,Prime Tech Solution,You'll love it,"Cybersecurity, Zero Trust Architecture, Cryptography, Security",Ho Chi Minh
