Job Title,Company,Salary,Skills,Location
Project Team leader/Project Manager (JLPT N2),N/A,Thỏa thuận,,Ho Chi Minh
Senior IT Compliance Specialist (HO26.87),N/A,Thỏa thuận,,Ho Chi Minh
AI Scientist (PhD),N/A,Thỏa thuận,,Ho Chi Minh
Server Operator (Vận hành máy chủ) – ID2702,N/A,Thỏa thuận,,Ho Chi Minh
Systems Administrator (Linux/Cloud) - ID2694,N/A,Thỏa thuận,,Ho Chi Minh
Portfolio Management (Mảng hạ tầng) - ID2698,N/A,Thỏa thuận,,Ho Chi Minh
"Data Scientist Expert (Python, Cloud, AI/ML) – ID2645",N/A,Thỏa thuận,,Ho Chi Minh
"Senior Data Operations Engineer (Oracle, SQL) - ID2371",N/A,Thỏa thuận,,Ho Chi Minh
Salesforce Developer,N/A,Thỏa thuận,,Ho Chi Minh
System Engineer ( Linux/Windows Server),N/A,Thỏa thuận,,Ho Chi Minh
AI Software Engineer (Python/Go/C/C++ & AI Agents),N/A,Thỏa thuận,,Ho Chi Minh
"(HOLT.15) AI Expert (Deep Learning, Machine Learning)",N/A,Thỏa thuận,,Ho Chi Minh
(HOLT.16) Senior AI Expert (Machine Learning),N/A,Thỏa thuận,,Ho Chi Minh
Agentic Engineer (Python/Go/C/C++ Backend & AI Agents),N/A,Thỏa thuận,,Ho Chi Minh
(HOLT.17)Senior AI Engineer (Computer Vision/NPL/LLM),N/A,Thỏa thuận,,Ho Chi Minh
(HO26.85) Trưởng phòng Công nghệ Thị giác Máy tính,N/A,Thỏa thuận,,Ho Chi Minh
(HO26.84) CV Phát triển khoa học dữ liệu-Data Scientist,N/A,Thỏa thuận,,Ho Chi Minh
Senior IT Risks Management Specialist,N/A,Thỏa thuận,,Ho Chi Minh
Security Engineer,N/A,Thỏa thuận,,Ho Chi Minh
"QA Manager (Tester, Japanese N2+)",N/A,Thỏa thuận,,Ho Chi Minh
Senior AI Platform Engineer,N/A,Thỏa thuận,,Ho Chi Minh
Senior Backend Developer (.Net),N/A,Thỏa thuận,,Ho Chi Minh
"Full-stack Developer (Node.js, Vue.js, Angular/Ionic)",N/A,Thỏa thuận,,Ho Chi Minh
TRƯỞNG NHÓM PHÁT TRIỂN PHẦN MỀM(Back‑Office Technology),N/A,Thỏa thuận,,Ho Chi Minh
BrSE (Bridge System Engineer) cho công ty IT Nhật Bản,N/A,Thỏa thuận,,Ho Chi Minh
