Job Title,Company,Salary,Experience,City,Benefits,Skills
Trưởng Phòng Kinh Doanh (Mảng Giải Pháp Phần Mềm Cho Doanh Nghiệp),CÔNG TY CỔ PHẦN CÔNG NGHỆ GETFLY VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Tài chính, Telesales, B2B"
IT Comtor (Tiếng Nhật N2 Trở Lên) - Nghỉ T7 CN,CÔNG TY TNHH FLINTERS VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,"IT Comtor, Tiếng Nh..., Nghỉ thứ 7, IT - Phần mềm"
Gameplay Developer - High Salary 50 Million,CÔNG TY TNHH SERVICE ONE GLOBAL,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,"Tiếng Anh..., Game, Game Developer, IT - Phần mềm"
"IT Support(Intern Full-Time, Fresher Are Welcome)",CÔNG TY TNHH NETMARKS VIỆT NAM,"Hà Nội
1 năm",Không yêu cầu,Khác,,
"Fullstack Software Engineers (Full-Time, Hybird) - Làm Tại Quận 1 HCM",CÔNG TY TNHH VIỆC CÓ,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,"Nghỉ thứ..., IT - Phần mềm"
Account Executive / Sales B2B / Martech Solutions (Tư Vấn Trải Nghiệm Khách Hàng Hoa Hồng Lên Tới 30% Deal),CÔNG TY CỔ PHẦN TÍCH HỢP CÔNG NGHỆ HUB - JS,"Hà Nội
1 năm",Không yêu cầu,Khác,,"Market..., Direct Sales, B2B"
Trưởng Phòng Hệ Thống,"Pro
CÔNG TY CỔ PHẦN XÂY DỰNG CDC","Hà Nội
5 năm",Không yêu cầu,Khác,,IT...
Business Analyst,CÔNG TY TNHH NETMARKS VIỆT NAM,Thỏa thuận,Không yêu cầu,Khác,,IT...
Hybrid Senior Graphic Designer (15-18tr),CÔNG TY TNHH TRUYỀN THÔNG WISE,"Hà Nội
4 năm",Không yêu cầu,Khác,,Marketin...
Talent Fresher - Sales Consultant/Business Development - B2B Công Nghệ (BASE REVENUE CHAMPIONS 2026),CÔNG TY CỔ PHẦN BASE ENTERPRISE,"Hà Nội & Hồ Chí Minh (mới)
Dưới 1 năm",Không yêu cầu,Khác,,"Telesales, Direct Sales"
PRE-SALES ENGINEER (IT Software) REMOTE WORK,CÔNG TY TNHH TOPSEC VIỆT NAM,"Hồ Chí Minh (mới)
3 năm",Không yêu cầu,Khác,,"B2C, IT..., B2B, An ninh mạng"
Lập Trình Viên AI,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Hà Nội
2 năm",Không yêu cầu,Khác,,"AI Engineer, IT - Phần mềm"
Embedded Software Engineer,CÔNG TY TNHH CÔNG NGHỆ MỚI 3HP,"Bắc Ninh (mới)
1 năm",Không yêu cầu,Khác,,1 năm k...
Nhân Viên Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,"Hà Nội
Dưới 1 năm",Không yêu cầu,Khác,,
QC/QA Engineer (Manual Tester),CÔNG TY TNHH COOLDEV,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,"2 năm ..., QA Engineer, Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Lập Trình Full Stack Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,"Nghỉ thứ..., IT - Phần mềm"
Nhân Viên IT,CÔNG TY CP HOÀNG NAM,"Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Business Analyst - Đi Làm Ngay,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO ALTISSS,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,IT...
Kỹ Sư Bảo Mật Mạng (Network Security Engineer) / Cyber Security - Lương Gross Lên Đến 50 Triệu,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Hà Nội
5 năm",Không yêu cầu,Khác,,An ninh mạ...
"Middle/Senior Frontend Engineer(ReactJS,Fullstack)",PORTERS ASIA VIETNAM COMPANY LIMITED,"Hồ Chí Minh (mới)
4 năm",Không yêu cầu,Khác,,"Nghỉ thứ ..., IT - Phần mềm"
"Business Analyst (BA) / Chuyên Viên Phân Tích Nghiệp Vụ Phần Mềm – Thu Nhập Upto 15M/Tháng (Tại Tân Sơn Hòa, Hồ Chí Minh)",CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ FASTWORK VIỆT NAM,"Hồ Chí Minh (mới)
2 năm",Không yêu cầu,Khác,,IT...
Presales Engineer (IT Infrastructure / System / Network) – Fresher/Junior - HN/HCM,CÔNG TY TNHH TỔNG CÔNG TY CÔNG NGHỆ & GIẢI PHÁP CMC,"Hà Nội & Hồ Chí Minh (mới)
1 năm",Không yêu cầu,Khác,,
Kỹ Sư AI,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,"Hà Nội
1 năm",Không yêu cầu,Khác,,"An ninh mạng, AI Engineer, Nghỉ..., IT - Phần mềm"
"System Engineer/ Kỹ Sư Hạ Tầng IT (Dell Server, NVIDIA GPU, VMware) - Lương Gross Lên Đến 50 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,"Hà Nội
3 năm",Không yêu cầu,Khác,,
