Job Title,Company,Salary,Experience,City,Skills
Trưởng Phòng Kinh Doanh (Mảng Giải Pháp Phần Mềm Cho Doanh Nghiệp),CÔNG TY CỔ PHẦN CÔNG NGHỆ GETFLY VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,"Tài chính, Telesales, B2B"
IT Comtor (Tiếng Nhật N2 Trở Lên) - Nghỉ T7 CN,CÔNG TY TNHH FLINTERS VIỆT NAM,2 Triệu,1 năm,Hà Nội,"IT Comtor, Tiếng Nh..., Nghỉ thứ 7, IT - Phần mềm"
Gameplay Developer - High Salary 50 Million,CÔNG TY TNHH SERVICE ONE GLOBAL,50 Triệu,3 năm,Hồ Chí Minh (mới),"Tiếng Anh..., Game, Game Developer, IT - Phần mềm"
"IT Support(Intern Full-Time, Fresher Are Welcome)",CÔNG TY TNHH NETMARKS VIỆT NAM,Thỏa thuận,1 năm,Hà Nội,
"Fullstack Software Engineers (Full-Time, Hybird) - Làm Tại Quận 1 HCM",CÔNG TY TNHH VIỆC CÓ,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"Nghỉ thứ..., IT - Phần mềm"
Account Executive / Sales B2B / Martech Solutions (Tư Vấn Trải Nghiệm Khách Hàng Hoa Hồng Lên Tới 30% Deal),CÔNG TY CỔ PHẦN TÍCH HỢP CÔNG NGHỆ HUB - JS,Thỏa thuận,1 năm,Hà Nội,"Market..., Direct Sales, B2B"
Trưởng Phòng Hệ Thống,"Pro
CÔNG TY CỔ PHẦN XÂY DỰNG CDC",Thỏa thuận,5 năm,Hà Nội,IT...
Business Analyst,CÔNG TY TNHH NETMARKS VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,IT...
Hybrid Senior Graphic Designer (15-18tr),CÔNG TY TNHH TRUYỀN THÔNG WISE,15 - 18 Triệu,4 năm,Hà Nội,Marketin...
Talent Fresher - Sales Consultant/Business Development - B2B Công Nghệ (BASE REVENUE CHAMPIONS 2026),CÔNG TY CỔ PHẦN BASE ENTERPRISE,Thỏa thuận,Dưới 1 năm,Hà Nội & Hồ Chí Minh (mới),"Telesales, Direct Sales"
PRE-SALES ENGINEER (IT Software) REMOTE WORK,CÔNG TY TNHH TOPSEC VIỆT NAM,Thỏa thuận,3 năm,Hồ Chí Minh (mới),"B2C, IT..., B2B, An ninh mạng"
Lập Trình Viên AI,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,Thỏa thuận,2 năm,Hà Nội,"AI Engineer, IT - Phần mềm"
Embedded Software Engineer,CÔNG TY TNHH CÔNG NGHỆ MỚI 3HP,Thỏa thuận,1 năm,Bắc Ninh (mới),1 năm k...
Nhân Viên Phân Tích Nghiệp Vụ,CÔNG TY CỔ PHẦN CÔNG NGHỆ VCS VIỆT NAM,Thỏa thuận,Dưới 1 năm,Hà Nội,
QC/QA Engineer (Manual Tester),CÔNG TY TNHH COOLDEV,Thỏa thuận,2 năm,Hồ Chí Minh (mới),"2 năm ..., QA Engineer, Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên Lập Trình Full Stack Developer,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,Thỏa thuận,1 năm,Hồ Chí Minh (mới),"Nghỉ thứ..., IT - Phần mềm"
Nhân Viên IT,CÔNG TY CP HOÀNG NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Business Analyst - Đi Làm Ngay,CÔNG TY CỔ PHẦN CÔNG NGHỆ CAO ALTISSS,Thỏa thuận,2 năm,Hồ Chí Minh (mới),IT...
Kỹ Sư Bảo Mật Mạng (Network Security Engineer) / Cyber Security - Lương Gross Lên Đến 50 Triệu,CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,50 Triệu,5 năm,Hà Nội,An ninh mạ...
"Middle/Senior Frontend Engineer(ReactJS,Fullstack)",PORTERS ASIA VIETNAM COMPANY LIMITED,Thỏa thuận,4 năm,Hồ Chí Minh (mới),"Nghỉ thứ ..., IT - Phần mềm"
"Business Analyst (BA) / Chuyên Viên Phân Tích Nghiệp Vụ Phần Mềm – Thu Nhập Upto 15M/Tháng (Tại Tân Sơn Hòa, Hồ Chí Minh)",CHI NHÁNH CÔNG TY TNHH CÔNG NGHỆ FASTWORK VIỆT NAM,15 Triệu,2 năm,Hồ Chí Minh (mới),IT...
Presales Engineer (IT Infrastructure / System / Network) – Fresher/Junior - HN/HCM,CÔNG TY TNHH TỔNG CÔNG TY CÔNG NGHỆ & GIẢI PHÁP CMC,Thỏa thuận,1 năm,Hà Nội & Hồ Chí Minh (mới),
Kỹ Sư AI,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"An ninh mạng, AI Engineer, Nghỉ..., IT - Phần mềm"
"System Engineer/ Kỹ Sư Hạ Tầng IT (Dell Server, NVIDIA GPU, VMware) - Lương Gross Lên Đến 50 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,50 Triệu,3 năm,Hà Nội,
Nhân Viên Thiết Kế Đồ Hoạ - Thời Trang (Lương Lên Đến 12tr) Tại Hồ Chí Minh,CÔNG TY CỔ PHẦN VINA KIDS,12 Triệu,2 năm,Hồ Chí Minh (mới),Thiết kế...
Leader Design (Yêu Cầu Kinh Nghiệm Lĩnh Vực Bất Động Sản),CÔNG TY TNHH TRUYỀN THÔNG UREKA VIỆT NAM,Thỏa thuận,3 năm,Hà Nội,Marketin...
Nhân Viên Software Developer – Froned (Dev) - Làm Việc Tại Hà Nội,BỆNH VIỆN ĐA KHOA PHƯƠNG ĐÔNG - CHI NHÁNH CÔNG TY TNHH TỔ HỢP Y TẾ PHƯƠNG ĐÔNG,Thỏa thuận,3 năm,Hà Nội,Đại H...
Frontend ReactJS Developer,CÔNG TY TNHH LG CNS VIỆT NAM,Thỏa thuận,4 năm,Hà Nội,"Nghỉ thứ ..., IT - Phần mềm"
Nhân Viên IT Phần Mềm Và Phần Cứng (Biết Tiếng Trung Giao Tiếp Cơ Bản),CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ HUYÊN PHONG,Thỏa thuận,Không yêu cầu,Thỏa thuận,
Nhân Viên Tư Vấn Giải Pháp Công Nghệ Thông Tin,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội & 2 nơi khác,"Nghỉ ..., IT - Phần mềm"
Nhân Viên Thiết Kế (Photoshop & Figma) - Hồ Chí Minh,CÔNG TY TNHH CÔNG NGHỆ SINH HỌC (VIỆT NAM) BLACK PEARL,Thỏa thuận,1 năm,Hồ Chí Minh (mới),1 năm ki...
Graphic Designer POD ( Thu Nhập Đến 15 Triệu - Đi Làm Ngay ),CÔNG TY TNHH NẾN THƠM KHỦNG LONG,15 Triệu,Dưới 1 năm,Hồ Chí Minh (mới),Dưới 1 n...
Middle/Senior Backend Engineer (Fullstack),PORTERS ASIA VIETNAM COMPANY LIMITED,Thỏa thuận,4 năm,Hồ Chí Minh (mới),"Nghỉ thứ 7, IT - Phần mềm"
Nhân Viên IT - IT Network,CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Nhân Viên Thiết Kế Sản Phẩm - Designer - Hồ Chí Minh,CÔNG TY TNHH FIX GROUP,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thương m...
Kỹ Sư Hệ Thống Nhúng,CÔNG TY TNHH ĐIỆN TỬ R&P,Thỏa thuận,2 năm,Hồ Chí Minh (mới),IT - Ph...
"Nhân Viên IT, Đi Làm Ngay, Lương Thỏa Thuận Theo Năng Lực, Hà Nội - HCM",CÔNG TY TNHH GIẢI PHÁP CÔNG NGHỆ ĐỒ HỌA SOLUCA,Thỏa thuận,1 năm,Hà Nội & Hồ Chí Minh (mới),"Kỹ thuật IT, IT - Phần mềm"
"IT Helpdesk, Tại Hồ Chí Minh, Đi Làm Ngay",CÔNG TY TNHH CÔNG NGHỆ - DỊCH VỤ SMART SERVICES,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Nhân Viên Ngôn Ngữ Dữ Liệu - Tiếng Tây Ban Nha/Bồ Đào Nha/Thái (Không Yêu Cầu Kinh Nghiệm),CÔNG TY TNHH APPEN DATA TECHNOLOGY VIỆT NAM,Thỏa thuận,Không yêu cầu,Thỏa thuận,Nghỉ thứ...
Fresher Data Analytics Engineer (Chương Trình Data Nova Upto 8M),APERO TECHNOLOGIES GROUP,8 Triệu,Dưới 1 năm,Hà Nội,"Data Analyst, Nghỉ thứ 7"
Thực Tập Sinh Phát Triển Website Giỏi SEO,HELICORP,Thỏa thuận,Không yêu cầu,Thỏa thuận,
Nhân Viên Thiết Kế (Graphic Designer) - Thu Nhập 12 - 15 Triệu,CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ QUẢNG CÁO TÂN HẢI THÁI,12 - 15 Triệu,Không yêu cầu,Thỏa thuận,Tuổi 22 ...
Kỹ Sư Triển Khai Hệ Thống,CÔNG TY CỔ PHẦN CÔNG NGHỆ DỊCH VỤ MITEK,Thỏa thuận,Không yêu cầu,Thỏa thuận,"Kỹ thuật IT, IT ..."
Kỹ Sư Giải Pháp Phần Mềm/ Software Developer,"Pro
CÔNG TY CỔ PHẦN DỊCH VỤ CÔNG NGHỆ TIN HỌC HPT",Thỏa thuận,2 năm,Hà Nội,"IT - Phầ..., IT - Phần mềm"
.NET Developer_Từ 3 Năm Kinh Nghiệm,"Pro
CÔNG TY CỔ PHẦN HỆ THỐNG CÔNG NGHỆ ETC",Thỏa thuận,3 năm,Hà Nội,"3 năm kinh ..., Nghỉ thứ 7"
IT Support - Quản Trị Hệ Thống,CÔNG TY TNHH P.A VIỆT NAM,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Java Developer ( Junior),CÔNG TY TNHH ĐẦU TƯ VÀ PHÁT TRIỂN CÔNG NGHỆ ĐỨC VIỆT,Thỏa thuận,1 năm,Hà Nội,"1 năm kinh..., IT - Phần mềm"
IT Support / IT Helpdesk - Quận 9 (Sử Dụng Tiếng Anh Giao Tiếp Và Làm Việc),CÔNG TY TNHH GIẢI PHÁP DỮ LIỆU SÁNG TẠO,Thỏa thuận,1 năm,Hồ Chí Minh (mới),
Chuyên Viên Thiết Kế Đồ Họa,CÔNG TY TNHH PAPER ART VIỆT,Thỏa thuận,2 năm,Hồ Chí Minh (mới),2 năm ki...
Nhân Viên Triển Khai Dự Án ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,Thỏa thuận,3 năm,Hồ Chí Minh (mới),IT...
Nhân Viên Triển Khai Dự Án ERP (Thứ 2 - Thứ 6),CÔNG TY CỔ PHẦN ASOFT,Thỏa thuận,3 năm,Hồ Chí Minh (mới),IT...
"Kỹ Sư Giải Pháp Điện Toán Đám Mây / Senior Cloud Engineer (OpenStack, VCF, SDN) – Lương Gross Lên Đến 50 Triệu",CÔNG TY CỔ PHẦN GIẢI PHÁP SỐ MOBIFONE,50 Triệu,3 năm,Hà Nội,"Cloud Engineer, IT - Phần mềm"
Java Engineer,TỔNG CÔNG TY VIỄN THÔNG VIETTEL-CHI NHÁNH TẬP ĐOÀN CÔNG NGHIỆP - VIỄN THÔNG QUÂN ĐỘI,Thỏa thuận,1 năm,Hà Nội,"Nghỉ thứ 7, IT - Phần mềm"
Designer 2D; 3D,CÔNG TY TNHH TRUYỀN THÔNG SỰ KIỆN WINNER,Thỏa thuận,1 năm,Hồ Chí Minh (mới),Thiết kế...
